"Time","Type","Ability","Amount","Source → Target",""
"00:41:27.138","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:34.436","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:41.700","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:43.289","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:43.512","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:43.710","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:44.368","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:48.985","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:50.665","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:51.457","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:56.325","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:03.601","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:05.369","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:06.172","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:10.845","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:18.136","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:19.783","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:21.012","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:25.362","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:32.685","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:39.948","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:47.261","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:49.255","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:49.713","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:42:54.506","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:01.804","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:03.698","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:04.442","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:04.699","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:09.094","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:16.312","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:23.604","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:26.311","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:30.944","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:38.185","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:40.227","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:40.809","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:45.379","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:45.382","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:52.698","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:54.769","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:43:59.982","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:07.288","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:14.594","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:21.873","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:23.379","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:24.129","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:29.219","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:36.462","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:38.343","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:39.122","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:43.740","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:51.037","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:51.040","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:44:58.225","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:05.469","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:12.912","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:14.442","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:15.309","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:20.169","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:27.454","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:34.754","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:36.726","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:37.539","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:42.032","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:49.252","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:56.482","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:56.484","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:45:58.594","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:03.766","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:05.413","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:11.135","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:12.698","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:13.573","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:18.414","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:25.726","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:32.996","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:40.273","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:41.801","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:43.030","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:47.398","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:47.401","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:54.732","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:56.615","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:46:57.614","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:02.121","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:09.411","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:16.676","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:18.121","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:18.726","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:23.920","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:31.177","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:38.531","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:45.809","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:48.045","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:48.669","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:53.058","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:47:55.135","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:00.259","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:02.128","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:02.752","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:07.538","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:14.794","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:22.191","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:29.467","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:29.469","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:31.141","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:36.787","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:44.072","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:45.686","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:46.919","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:51.341","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:48:58.564","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:05.710","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:13.078","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:14.961","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:15.751","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:15.953","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:20.356","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:27.640","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:34.982","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:37.030","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:37.481","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:42.149","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:42.150","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:49.445","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:51.321","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:51.884","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:56.870","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:49:58.404","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:04.001","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:11.328","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:18.696","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:26.008","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:27.446","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:28.654","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:33.292","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:40.564","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:47.834","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:50.022","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:50.696","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:50:55.119","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:02.327","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:09.681","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:11.730","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:12.556","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:16.925","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:16.927","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:24.243","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:31.473","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:33.082","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:38.813","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:45.944","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:51:53.174","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:00.652","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:02.134","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:03.320","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:07.897","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:15.211","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:16.660","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:17.792","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:22.493","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:22.496","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:29.757","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:31.820","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:32.641","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:37.021","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:38.684","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:39.697","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:39.924","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:44.340","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:46.565","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:51.632","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:53.446","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:54.069","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:54.473","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:52:58.888","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:01.563","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:06.132","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:13.472","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:20.749","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:22.215","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:23.514","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:28.008","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:35.319","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:42.507","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:42.607","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:49.888","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:51.709","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:51.902","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:57.118","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:58.791","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:53:59.343","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:04.445","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:11.721","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:13.556","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:14.389","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:18.903","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:19.008","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:20.799","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:21.647","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:26.167","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:33.403","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:35.333","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:36.242","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:40.744","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:40.848","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:48.125","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:54:55.374","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:02.679","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:04.486","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:05.339","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:09.951","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:11.993","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:12.805","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:17.203","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:24.547","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:26.401","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:27.396","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:31.804","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:39.019","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:40.930","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:46.373","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:47.888","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:49.026","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:53.591","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:55.097","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:55.709","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:56.242","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:55:56.493","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:00.880","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:00.884","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:02.774","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:03.187","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:03.590","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:08.221","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:15.499","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:22.679","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:24.335","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:25.153","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:29.949","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:37.331","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:38.978","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:39.908","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:44.506","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:51.797","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:56:59.019","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:01.360","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:01.944","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:06.360","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:08.697","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:13.755","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:21.018","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:22.874","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:23.471","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:28.317","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:57:35.582","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
