"Time","Type","Ability","Amount","Source → Target",""
"01:01:50.295","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:51.982","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:57.691","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:05.003","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:05.005","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:06.635","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:07.441","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:07.857","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:12.206","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:13.879","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:14.920","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:19.447","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:26.697","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:29.212","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:34.059","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:41.343","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:42.852","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:43.232","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:44.178","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:48.601","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:55.933","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:57.948","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:58.213","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:02:58.587","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:03.211","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:04.866","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:06.080","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:10.485","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:10.487","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:12.587","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:17.739","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:19.448","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:20.386","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:24.899","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:32.171","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:39.641","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:46.919","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:48.739","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:49.178","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:49.760","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:54.218","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:03:54.221","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:01.504","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:03.539","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:04.162","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:08.780","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:16.031","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:23.349","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:25.370","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:30.620","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:37.898","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:37.900","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:45.197","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:46.739","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:47.655","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:52.440","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:54.440","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:55.127","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:04:59.665","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:01.707","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:07.022","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:14.314","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:15.947","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:16.968","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:17.169","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:21.546","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:28.775","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:36.154","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:43.252","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:50.516","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:52.162","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:53.377","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:57.891","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:05:57.893","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:06:05.182","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
