"Time","Type","Ability","Source → Target",""
"00:19:37.309","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:19:39.813","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:43.806","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:19:44.674","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:47.051","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:51.132","Cast","Arcane Blast 1.66 sec","Blinkladen → Training Dummy 1",""
"00:19:51.939","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:54.320","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:58.363","Cast","Arcane Blast 1.56 sec","Blinkladen → Training Dummy 1",""
"00:19:59.137","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:20:01.611","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:05.570","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:20:06.466","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:08.905","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:12.854","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:20:13.778","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:16.181","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:20.218","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:20:21.021","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:20:23.444","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:27.487","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:20:28.293","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:30.732","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:34.619","Cast","Arcane Blast 1.47 sec","Blinkladen → Training Dummy 1",""
"00:20:35.577","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:20:38.020","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:41.973","Cast","Arcane Blast 1.52 sec","Blinkladen → Training Dummy 1",""
"00:20:42.836","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:45.328","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:49.271","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:20:50.168","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:20:52.576","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20:56.548","Cast","Arcane Blast 1.52 sec","Blinkladen → Training Dummy 1",""
"00:20:57.383","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:20:59.885","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:03.884","Cast","Arcane Blast 1.58 sec","Blinkladen → Training Dummy 1",""
"00:21:04.778","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:07.193","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:11.216","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:21:11.987","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:14.464","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:18.506","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:21:19.319","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:21.742","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:25.770","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:21:26.598","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:21:29.034","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:33.043","Cast","Arcane Blast 1.58 sec","Blinkladen → Training Dummy 1",""
"00:21:33.883","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:21:36.252","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:40.268","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:21:41.174","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:43.522","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:47.584","Cast","Arcane Blast 1.64 sec","Blinkladen → Training Dummy 1",""
"00:21:48.464","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:50.812","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:54.897","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:21:55.649","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:21:58.165","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:02.181","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:22:03.022","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:22:05.374","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:09.437","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:22:10.251","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:12.723","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:16.717","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:22:17.514","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:19.999","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:23.944","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:22:24.839","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:27.283","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:31.200","Cast","Arcane Blast 1.58 sec","Blinkladen → Training Dummy 1",""
"00:22:32.139","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:22:34.561","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:38.478","Cast","Arcane Blast 1.48 sec","Blinkladen → Training Dummy 1",""
"00:22:39.437","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:41.827","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:45.756","Cast","Arcane Blast 1.49 sec","Blinkladen → Training Dummy 1",""
"00:22:46.688","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:22:49.138","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:22:53.056","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:22:53.952","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:22:56.390","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:00.399","Cast","Arcane Blast 1.56 sec","Blinkladen → Training Dummy 1",""
"00:23:01.269","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:03.616","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:07.728","Cast","Arcane Blast 1.70 sec","Blinkladen → Training Dummy 1",""
"00:23:08.554","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:10.978","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:14.985","Cast","Arcane Blast 1.67 sec","Blinkladen → Training Dummy 1",""
"00:23:15.825","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:23:18.262","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:22.181","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:23:23.020","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:25.533","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:29.394","Cast","Arcane Blast 1.44 sec","Blinkladen → Training Dummy 1",""
"00:23:30.400","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:32.811","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:36.847","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:23:37.647","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:23:40.096","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:44.131","Cast","Arcane Blast 1.66 sec","Blinkladen → Training Dummy 1",""
"00:23:44.873","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:47.369","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:51.394","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:23:52.139","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:23:54.658","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23:58.693","Cast","Arcane Blast 1.69 sec","Blinkladen → Training Dummy 1",""
"00:23:59.519","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:01.942","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:05.881","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:24:06.798","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:24:09.228","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:13.262","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:24:14.082","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:16.505","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:20.443","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:24:21.380","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:23.789","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:27.728","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:24:28.625","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:24:31.061","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:35.019","Cast","Arcane Blast 1.54 sec","Blinkladen → Training Dummy 1",""
"00:24:35.922","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:38.334","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:42.291","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:24:43.187","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:24:45.548","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:49.534","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:24:50.394","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:24:52.840","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:24:56.831","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:24:57.721","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:00.130","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:04.028","Cast","Arcane Blast 1.46 sec","Blinkladen → Training Dummy 1",""
"00:25:05.019","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:25:07.449","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:11.340","Cast","Arcane Blast 1.47 sec","Blinkladen → Training Dummy 1",""
"00:25:12.249","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:14.722","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:18.630","Cast","Arcane Blast 1.47 sec","Blinkladen → Training Dummy 1",""
"00:25:19.589","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:25:22.039","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:26.033","Cast","Arcane Blast 1.67 sec","Blinkladen → Training Dummy 1",""
"00:25:26.880","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:29.291","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:33.345","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:25:34.151","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:25:36.567","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:40.617","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:25:41.442","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:43.861","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:47.901","Cast","Arcane Blast 1.67 sec","Blinkladen → Training Dummy 1",""
"00:25:48.734","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:51.156","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25:55.046","Cast","Arcane Blast 1.47 sec","Blinkladen → Training Dummy 1",""
"00:25:56.005","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:25:58.442","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:02.345","Cast","Arcane Blast 1.49 sec","Blinkladen → Training Dummy 1",""
"00:26:03.220","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:05.708","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:09.755","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:26:10.574","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:13.010","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:17.033","Cast","Arcane Blast 1.68 sec","Blinkladen → Training Dummy 1",""
"00:26:17.791","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:26:20.247","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:24.317","Cast","Arcane Blast 1.65 sec","Blinkladen → Training Dummy 1",""
"00:26:25.088","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:27.556","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:31.602","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:26:32.428","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:34.795","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:38.768","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:26:39.712","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:42.136","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:46.046","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:26:46.915","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:26:49.406","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:53.436","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:26:54.261","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:26:56.687","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:00.720","Cast","Arcane Blast 1.69 sec","Blinkladen → Training Dummy 1",""
"00:27:01.463","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:27:03.921","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:08.005","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:27:08.749","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:27:11.195","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:15.223","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:27:16.115","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:18.524","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:22.428","Cast","Arcane Blast 1.47 sec","Blinkladen → Training Dummy 1",""
"00:27:23.392","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:25.753","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:29.733","Cast","Arcane Blast 1.54 sec","Blinkladen → Training Dummy 1",""
"00:27:30.665","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:27:33.046","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:37.032","Cast","Arcane Blast 1.52 sec","Blinkladen → Training Dummy 1",""
"00:27:37.900","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:40.346","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:44.409","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:27:45.241","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:47.657","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:51.693","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:27:52.505","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:27:54.942","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27:58.963","Cast","Arcane Blast 1.67 sec","Blinkladen → Training Dummy 1",""
"00:27:59.735","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:28:02.201","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:06.149","Cast","Arcane Blast 1.52 sec","Blinkladen → Training Dummy 1",""
"00:28:07.073","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:28:09.427","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:13.428","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:28:14.379","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:16.788","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:20.817","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:28:21.643","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:24.045","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:28.038","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:28:28.927","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:31.350","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:35.372","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:28:36.129","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:38.635","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:42.539","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:28:43.421","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:28:45.913","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:49.823","Cast","Arcane Blast 1.49 sec","Blinkladen → Training Dummy 1",""
"00:28:50.760","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:53.173","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:28:57.150","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:28:58.032","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:00.482","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:04.496","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:29:05.324","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:29:07.737","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:11.636","Cast","Arcane Blast 1.46 sec","Blinkladen → Training Dummy 1",""
"00:29:12.621","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:14.965","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:18.866","Cast","Arcane Blast 1.41 sec","Blinkladen → Training Dummy 1",""
"00:29:19.869","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:29:22.322","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:26.157","Cast","Arcane Blast 1.41 sec","Blinkladen → Training Dummy 1",""
"00:29:27.074","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:29:29.581","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:33.512","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:29:34.459","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:36.879","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:40.886","Cast","Arcane Blast 1.58 sec","Blinkladen → Training Dummy 1",""
"00:29:41.733","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:29:44.156","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:47.997","Cast","Arcane Blast 1.42 sec","Blinkladen → Training Dummy 1",""
"00:29:48.998","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:51.352","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:55.324","Cast","Arcane Blast 1.45 sec","Blinkladen → Training Dummy 1",""
"00:29:56.308","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29:58.725","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:02.754","Cast","Arcane Blast 1.65 sec","Blinkladen → Training Dummy 1",""
"00:30:03.573","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:30:05.948","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:09.996","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:30:10.808","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:13.206","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:17.309","Cast","Arcane Blast 1.64 sec","Blinkladen → Training Dummy 1",""
"00:30:18.046","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:30:20.524","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:24.559","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:30:25.427","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:27.804","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:31.837","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:30:32.656","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:30:35.134","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:39.148","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:30:39.997","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:42.352","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:46.440","Cast","Arcane Blast 1.65 sec","Blinkladen → Training Dummy 1",""
"00:30:47.266","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:49.696","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30:53.683","Cast","Arcane Blast 1.64 sec","Blinkladen → Training Dummy 1",""
"00:30:54.545","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:30:56.933","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:00.983","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:31:01.775","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:31:04.242","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:08.248","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:31:09.045","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:31:11.474","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:15.365","Cast","Arcane Blast 1.41 sec","Blinkladen → Training Dummy 1",""
"00:31:16.343","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:18.814","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:22.724","Cast","Arcane Blast 1.48 sec","Blinkladen → Training Dummy 1",""
"00:31:23.683","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:26.092","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:30.121","Cast","Arcane Blast 1.65 sec","Blinkladen → Training Dummy 1",""
"00:31:30.955","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:33.384","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:31:37.413","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
